
Prod[0] ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prod[1] ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prod[2] ,0,0,0,0,0,0,0,0,0,0,0,1.449,22.68,0,52.29,57.96,63,63,69.111,57.96,49.14,34.65,0,0,0,0,0,0,0,0,0,0,0,0,0,2.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.877,3.276,0,7.938,13.986,0,4.41,0,0,9.45,0,0,0,7.308,0,0,0,0,0,0,0,0,0,0,0.252,1.008,3.15,3.402,1.638,141.246,52.164,218.862,5.922,50.274,41.202,6.174,84.168,12.852,0,0,0,0,0,0,0,0,0,0,0,0,49.329,98.532,102.249,105.399,107.415,71.442,43.848,26.271,11.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.166,2.772,2.898,2.52,71.568,64.386,147.672,66.087,0,0,0,
Prod[3] ,127.26,55.44,262.92,71.82,50.4,20.58,44.94,9.66,41.58,15.96,31.92,64.26,46.2,6.72,10.92,23.52,0,10.92,1.68,5.46,12.6,8.82,18.9,73.5,124.32,0,0,0,0,0,0,0,0,0,26.04,26.04,23.52,3.78,0,7.56,0,8.4,15.12,21,52.92,73.92,58.8,55.44,97.02,36.96,15.12,102.06,8.4,3.78,7.98,15.96,153.3,9.66,10.08,6.72,105.42,13.02,3.78,10.08,4.2,15.12,25.62,11.76,26.46,44.1,165.9,38.22,63.84,23.94,18.06,15.12,10.5,6.72,6.3,15.12,13.02,69.72,18.48,12.6,15.96,25.62,36.12,33.18,33.18,37.38,38.64,44.52,51.24,42.84,52.92,47.46,31.92,26.88,35.7,42.42,33.18,26.04,18.9,13.02,18.48,13.02,14.28,11.34,105,71.82,69.72,59.64,73.5,55.02,62.16,79.38,26.88,14.28,26.46,87.78,0,91.98,28.98,126.42,60.06,161.28,0,443.1,44.52,81.9,101.22,47.88,91.56,67.2,0,0,0,15.12,15.12,401.52,62.58,36.54,60.06,320.88,58.8,44.94,30.24,15.54,18.06,26.46,27.72,35.7,35.7,42.42,39.48,31.5,16.8,10.08,50.82,8.82,7.56,3.78,4.2,4.62,5.46,7.98,42,49.98,
Prod[4] ,1628,1221,1221,1628,1221,407,814,407,1221,814,1582.77,1628,1603.72,1518.43,1599.55,1628,1628,1628,1628,1628,1628,1628,1628,1510.98,1628,1628,1628,1628,1628,1628,1628,1628,1221,1628,1628,1317.38,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1571.39,1628,1628,1628,1628,1628,1628,1628,1628,814,1628,1628,1628,1221,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1282.16,1628,1628,1422.22,1628,1628,1628,1628,1444.42,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,407,407,407,1221,1221,814,0,814,814,407,814,814,1628,1221,407,1628,1628,1628,1628,814,1628,1628,1628,1628,138.259,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1552.52,1628,1628,1628,1423.5,1628,1496.75,1628,1628,1628,
Prod[5] ,1019.13,793.27,1045.12,778.32,743.59,55.2,212.75,0,1008.55,52.44,916.09,1109.75,948.06,54.28,58.88,487.509,0,1253.96,0,50.6,736.23,50.6,767.05,1069.73,640.55,0,0,0,0,0,0,0,0,0,749.34,229.77,175.95,46,0,799.71,0,1024.19,813.74,589.26,692.3,715.3,632.73,552.23,695.06,566.49,542.34,738.76,728.87,716.68,772.11,998.2,935.87,677.35,877.91,754.4,830.07,1008.32,198.49,303.6,50.6,451.72,589.26,130.64,182.16,515.66,666.31,509.68,349.37,246.33,263.81,249.78,282.21,263.81,263.81,304.06,305.9,590.64,473.34,714.15,973.36,1437.04,1195.31,881.36,491.05,480.24,433.09,439.53,428.72,427.8,382.95,350.29,281.06,243.8,242.88,242.88,242.88,242.88,242.88,243.8,305.21,246.56,246.56,305.21,395.14,336.49,395.14,424.12,468.97,469.89,411.24,469.89,379.96,320.39,276.46,280.83,0,45.54,22.08,379.27,364.78,538.89,0,493.58,294.63,49.68,77.28,27.6,365.24,542.8,0,0,0,57.96,49.68,177.56,417.68,376.51,441.14,445.28,795.34,806.15,831.91,818.11,931.04,853.99,854.91,915.4,808.68,786.83,786.83,714.15,750.95,1249.13,2185.23,1289.38,1092.5,1033.16,808.22,734.62,679.42,588.34,797.41,751.64,
Prod[6] ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prod[7] ,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.5,933,1399.5,1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.5,933,1399.5,1866,0,267.294,799.569,1499.32,2199.07,2631.53,2799,2799,2799,1805.58,1801.18,0,0,0,0,0,0,0,0,233.25,699.75,1166.25,1632.75,1866,1866,1866,2332.5,2799,3265.5,3732,1866,2332.5,2799,2160.78,1469.16,468.339,223.928,675.907,1314.55,2014.3,638.64,871.89,933,933,933,1444.7,2332.5,2099.25,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,1866,2799,3732,3732,3732,2476.01,933,933,933,933,1089.99,1556.49,2022.99,2489.49,1866,2332.5,2799,2799,3032.25,3265.5,3498.75,3732,3732,3732,3732,
Prod[8] ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prod[9] ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prod[10] ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prod[11] ,0,0,0,0,0,0,0,0,0,0,0,489.576,0,10885.4,14420.2,13767.4,17676.6,11479,16509.8,1523.78,5417.32,11012.7,2509.72,0,0,0,0,0,0,0,0,0,0,0,4814.53,3178.97,26735.5,2623.01,29720.3,992.329,39866.2,7036.01,3377.35,12137.3,6073.64,22324.3,1425.85,167.314,0,0,0,0,0,0,0,0,0,0,6447.68,8710.28,20914.4,16506.4,19497.1,24301.3,27824.2,39822.6,13962.5,19155.8,9432.96,10957.9,3976.77,1743.7,0,0,0,0,0,0,0,0,0,0,986.504,4531.65,12191.3,17555,19869.7,8510.81,32030.7,40121.2,16843,40714.2,15471.6,11950.3,16357.8,2030.75,0,0,0,0,0,0,0,0,0,0,0,0,10386.5,17506,20139.5,20287.9,17987.4,15082.9,7358.83,4695.56,2112.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4411.65,8647.78,1633.91,3752.68,19372,21527.7,10291.5,7827.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24886.2,14298.8,19572.9,19979.1,18020.1,16026.4,32238.8,14317.3,0,0,0,
Prod[12] ,61541.7,21996.7,20977.5,18954.4,17820.2,19077.3,19125.3,19572.3,17552.1,18550.2,17760.9,15526.7,16311.4,9359.08,6806.84,4220.1,2188.98,13004.7,2354.93,17167.1,12515.2,7702.75,11151.9,26309.3,60591.2,22004.3,20782.9,18472.9,16386.7,14034.5,13975.5,13721.8,15926.6,11355.1,8432.12,13215.1,2645.02,17431.7,0,15880.9,992.518,2206.42,7060.09,21976.2,8151.06,3290.31,11196.7,38476.4,25523.4,21665.4,8937.73,4004.4,4318.11,5140.74,4624.36,5465.77,6057.35,6686.45,6270.47,5293.14,66.8512,7479.79,1214.7,671.113,593.13,2365.64,21097.1,12593,14173.2,6425.8,34614.6,35314,25494,24850.4,18742,15088.8,6845.19,4119.25,6148.03,14574.2,12502.1,13442.6,18962.3,11859.8,16289,13857.7,11444.3,1374.64,6265.28,8200.97,8678.91,11587.9,18956,16430.4,23015.9,22680.5,5880.89,22899.1,29497.6,33263.5,26285.8,20785.7,15698.6,10719,12547.2,11147.7,12615.4,6842.1,5402.35,3550.82,2074.98,3998.23,3020.79,3404.43,8118.87,11286,15122.5,15076.2,24711.3,38713.1,52800.2,29574,26422.2,23621.2,21516.4,18906.7,20176,18447.9,18520.3,19504.9,18979.4,20302.4,18623.3,14705,23346.1,19647.4,3697.5,2480.83,12011.3,15302.9,22989.5,25026.8,26481.4,18594.4,1920.74,9140.89,9165.73,10383.5,16506.8,24415.8,25727.8,25164.2,34668.4,39123.3,37934.9,30073.7,15813.4,8790.86,7023.99,5832.44,2310.82,2160.6,1933.81,2812.85,3036.56,4589.81,3982.46,5085.21,
Prod[13] ,3179.63,3307.26,2643.62,2945.06,2725.46,2688.1,2584.39,2710.1,2496.67,2671.22,2637.05,2806.99,2791.03,2999.29,2985.88,2775.37,2890.21,2818.72,2753.48,2741.27,2741.17,2794.54,2913.2,2912.12,3149.68,3247.72,3079.51,2761.68,2474.95,2396.06,2387.53,2348.65,2352.63,2429.06,2545.87,2824.45,3025.84,3013.9,2987.35,2988.1,2988.67,2976.92,2986.02,2983.74,2988.48,3039.12,3102.08,3123.13,2697.01,2974.33,2913.2,2376.55,2380.51,2252.2,2059.16,2078.05,1816.55,2261.99,2401.18,2683.56,2621.15,2928.86,3093.65,3030.87,5750.31,3061.96,3261,3265.19,3223.84,3323,3042.67,3272.73,3929.93,4034.33,3840.52,3515.1,3191.58,2980.52,2916.23,2910.73,2920.03,2758.02,3049.36,3197.27,3453.66,3195.66,3365.44,3562.62,3685.69,3708.27,3806.38,3723.66,3750.37,3822.69,3849.67,3844.24,3548.54,3476.23,3260.04,2960.04,2695.31,2548.15,2560.28,2583.42,2583.04,2660.41,2850.62,3164.47,3231.12,3282.86,3279.49,3284.7,3258.01,3294.6,3291.69,3289.85,3460.11,3534.66,3675.56,3668.11,3906.33,3716.82,3693.93,3363.07,3182.67,2793.27,2772.3,2161.64,2703.65,2633.68,2630.88,2912.44,3247.53,3461.44,3488.94,3439.25,3393.55,3273.82,3223.31,2766.4,3341.02,3363.86,3602.37,3405.3,3696.98,3601.73,3456.52,3476.99,3147.02,2935.39,2925.52,2861.62,2816.86,2812.31,2889.11,3027.55,3268.77,3512.26,2864.24,3565.17,3564.6,3528.76,3501.64,3506.19,3532.17,3580.34,3536.81,3714.83,
Prod[14] ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
