Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,Benders Multicut,UC Active,UC Vars Relaxed,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,Benders Multicut,Benders Iter,UC Active,UC Vars Relaxed,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),
666.354,7,1,3,0,1.73931e+08,0.2,0.5,0.4,0.000384276,1,0,3,1,0,1.08914e+10,6.15505e+09,5.55247e+07,0,3.45372e+09,1.5427e+08,7.78463e+07,0,1.34476e+08,0,8.60542e+08,6,32419.4,13913.3,862.2,6,-1.09565e+08,1.83629e+06,,1.78514e+10,1.84584e+09,3.12241e+06,0,7.9878e+09,0,8.01464e+09,2,0,4.00732e+08,8.66445e+08,1.73931e+08,1.52017e+07,1.95947e+07,8.78311e+06,,,0,0,0,0,0,0,0,0,0,0,11,383,5658,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,3.69766e+06,0,598000,2.2461e+06,0,1.91551e+07,0,1.88659e+07,0,0,3.60437e+06,7.87911e+06,1.80579e+08,0,0,0,,2.76274e+07,2.30258e+07,7.73259e+06,0,2.47482e+07,1.13632e+07,3.49301e+07,6.92093e+07,208704,397852,3.31336e+07,0,2.39424e+07,1.5218e+06,5.52444e+07,9.3185e+06,1.62821e+07,0,,0,0,,0,0
Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,Benders Multicut,Benders Iter,UC Active,UC Vars Relaxed,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),
482.249,10,1,3,0,1.04692e+08,0.2,0.5,0.4,0.00116849,1,0,3,1,0,1.18288e+10,6.41012e+09,6.70733e+07,0,3.62912e+09,1.22211e+08,5.47115e+07,0,1.23513e+08,0,1.42204e+09,6,62529.4,15587.3,15934.3,5,7.72953e+07,1.84406e+06,,1.74733e+10,1.46769e+09,3.12241e+06,0,7.9878e+09,0,8.01464e+09,2,0,4.00732e+08,4.09318e+08,1.04692e+08,1.18514e+07,2.14635e+07,8.77534e+06,,,0,0,0,0,0,0,0,0,0,0,0,162,7071,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,4.01118e+06,0,480006,1.483e+06,0,1.65425e+07,0,1.73278e+07,0,0,0,2.79951e+06,2.03015e+08,0,0,0,,1.64e+07,1.24762e+07,1.46186e+07,0,8.06249e+06,1.18469e+07,4.28249e+07,6.40572e+07,342927,221895,1.22703e+07,0,2.99685e+07,512083,4.99609e+07,982646,4.75593e+06,0,,0,0,,0,0
Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,Benders Multicut,Benders Iter,UC Active,UC Vars Relaxed,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),
13008.5,15,1,3,0,2.17279e+08,0.2,0.5,0.4,3.52305,1,0,6,1,0,1.04752e+11,5.81322e+09,5.09637e+07,0,3.31432e+09,2.32984e+08,5.55594e+07,0,7.12448e+07,9.32605e+10,1.95275e+09,6,81606.9,24925.1,4.56405e+07,5,-7.10296e+08,3.82719e+06,,1.67319e+10,1.87856e+09,3.12241e+06,0,7.9878e+09,0,6.86238e+09,2,0,3.43119e+08,8.02932e+08,2.17279e+08,1.48321e+07,2.12258e+07,6.79221e+06,,,0,0,0,0,0,0,0,0,0,2,0,533,5924,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,5.67059e+06,0,721001,1.23939e+06,0,1.70486e+07,0,9.99507e+06,0,3.60818e+06,0,4.66434e+06,1.77683e+08,0,0,0,,4.71916e+07,1.97772e+07,2.75475e+07,0,3.8112e+07,1.84727e+07,3.4413e+07,3.38072e+07,616488,777274,1.99667e+07,0,3.84788e+07,4.23543e+06,1.18866e+07,4.1975e+07,7.43162e+06,0,,0,0,,0,0
Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,Benders Multicut,Benders Iter,UC Active,UC Vars Relaxed,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),
14040.2,20,1,3,0,1.35802e+08,0.2,0.5,0.4,7.16686,1,0,3,1,0,2.14097e+11,6.16829e+09,2.63336e+07,0,3.49457e+09,1.3025e+08,6.28517e+07,0,1.31284e+08,2.00694e+11,3.38907e+09,6,138693,45688.1,2.00694e+07,3,-2.38206e+08,2.39203e+06,,1.71119e+10,1.58122e+09,1.65807e+06,0,7.9878e+09,0,7.54125e+09,1,0,3.77063e+08,5.96737e+08,1.35802e+08,1.05956e+07,2.43832e+07,8.22737e+06,,,0,0,0,0,0,0,0,0,0,0,0,0,6756,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,5.20313e+06,0,796910,836112,0,1.88726e+07,0,1.8418e+07,0,0,0,0,1.78743e+08,0,0,0,,4.94174e+06,1.82233e+06,5.8181e+06,0,1.79962e+07,1.57727e+07,4.90183e+07,1.90922e+07,832995,2.02534e+06,3.95103e+06,0,3.65263e+07,1.11269e+06,6.40942e+07,6.31206e+07,4.00754e+06,0,,0,0,,0,0
Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,Benders Multicut,Benders Iter,UC Active,UC Vars Relaxed,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),
