Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,UC Active,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,10,1,3,0,1.44E+08,0.2,0.5,0.4,0.00270292,0,1,1.14E+10,6.15E+09,2.46E+07,0,3.50E+09,1.59E+08,6.11E+07,0,1.05E+08,0,1.40E+09,6,62191.5,14597.3,0,2,3.60E+07,1.80E+06,,1.77E+10,1.68E+09,1.46E+06,0,7.99E+09,0,8.01E+09,1,0,4.01E+08,6.41E+08,1.44E+08,1.49E+07,2.36E+07,8.82E+06,2.91E+10,,0,0,0,0,0,0,0,0,0,0,3,293,6433,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,3.74E+06,0,584734,1.56E+06,0,2.22E+07,0,1.48E+07,5.77E-05,2.69E-05,2.15E+06,5.11E+06,1.95E+08,0,0,3.76E-11,,2.12E+07,1.16E+07,1.80E+07,0,8.39E+06,3.76E+07,3.28E+07,8.46E+07,266553,1.69E+06,1.48E+07,0,1.29E+07,1.01E+07,2.96E+07,2.16E+07,3.83E+06,0,,0,0,,0,0
333,15,1,3,0,2.27E+08,0.2,0.5,0.4,0.00483461,0,1,1.03E+10,5.84E+09,2.63E+07,0,3.27E+09,2.32E+08,6.21E+07,0,8.44E+07,0,7.50E+08,6,31476.2,9479.19,0,3,-1.31E+08,4.00E+06,,1.68E+10,1.91E+09,3.12E+06,0,7.99E+09,0,6.93E+09,2,0,3.46E+08,6.10E+08,2.27E+08,1.36E+07,2.00E+07,6.62E+06,2.71E+10,,0,0,0,0,0,0,0,0,0,3,0,1630,5279,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,6.47E+06,0,675235,1.90E+06,0,2.06E+07,0,1.18E+07,5.09E-06,3.02E+06,5.12E-05,2.65E+07,1.58E+08,0,0,-2.91E-11,,1.68E+07,2.27E+07,1.49E+07,0,2.47E+07,2.56E+07,4.19E+07,4.08E+07,281618,1.08E+06,1.76E+07,0,2.89E+07,9.04E+06,4.88E+07,5.24E+07,5.62E+06,0,,0,0,,0,0
619,20,1,3,0,2.05E+08,0.2,0.5,0.4,0.00170691,0,1,1.06E+10,5.93E+09,2.63E+07,0,3.37E+09,1.87E+08,6.25E+07,0,9.71E+07,0,9.63E+08,6,43785.1,9363.92,0,3,-1.26E+08,3.62E+06,,1.78E+10,1.84E+09,1.66E+06,0,7.99E+09,0,8.01E+09,1,0,4.01E+08,8.14E+08,2.05E+08,1.53E+07,2.84E+07,7.00E+06,2.85E+10,,0,0,0,0,0,0,0,0,0,3,4.35E-11,784,5926,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,6.07E+06,0,713692,1.58E+06,0,2.18E+07,0,1.36E+07,1.24E-07,2.45E+06,5.61E-05,1.34E+07,1.84E+08,0,0,0,,4.95E+06,2.01E+07,1.19E+06,0,1.99E+07,1.87E+07,4.90E+07,5.29E+07,520301,1.32E+06,1.05E+07,0,2.68E+07,6.63E+06,1.09E+08,4.53E+06,1.05E+07,0,,0,0,,0,0
3,2,1,3,0,1.73E+08,0.2,0.5,0.4,0.00257449,0,0,8.43E+09,4.94E+09,1.04E+08,0,3.08E+09,0,5.87E+07,0,9.12E+07,0,1.57E+08,6,5553.9,2856.45,0,10,2.25E+08,3.04E+06,,1.75E+10,1.72E+09,3.12E+06,0,7.99E+09,0,7.82E+09,2,0,3.91E+08,5.36E+08,1.73E+08,1.59E+07,1.59E+07,7.58E+06,2.60E+10,,0,0,0,0,0,0,0,0,0,0,0,0,5561,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,6.62E+06,0,507877,2.20E+06,0,1.99E+07,0,1.28E+07,0,0,0,0,2.03E+08,0,0,0,,1.47E+07,7.76E+06,1.13E+07,0,0,8.10E+07,1.80E+07,2.93E+07,0,0,2.56E+07,0,1.56E+07,1.30E+07,6.17E+07,2.70E+07,9.92E+06,0,,0,0,,0,0
7,5,1,3,0,1.17E+08,0.2,0.5,0.4,0.0041224,0,0,8.54E+09,5.10E+09,1.23E+07,3.20E+06,3.13E+09,0,3.78E+07,0,5.46E+07,0,2.06E+08,6,8297.84,2908.96,0,1,1.99E+07,2.06E+06,,1.75E+10,1.51E+09,3.12E+06,0,7.99E+09,0,8.01E+09,2,0,4.01E+08,6.37E+08,1.17E+08,1.59E+07,1.72E+07,8.56E+06,2.61E+10,,0,0,0,0,0,0,0,0,0,0,1,0,5659,0,0,0,,0,55,71,0,4,0,2,0,0,0,0,0,0,0,0,0,,4.47E+06,0,0,2.11E+06,0,2.10E+07,0,7.66E+06,0,0,16800.8,0,2.03E+08,0,0,0,,8.72E+06,1.79E+07,1.15E+07,0,2.23E+07,0,5.20E+07,6.68E+07,0,0,9.90E+06,0,2.55E+07,5.99E+06,2.91E+07,1.90E+07,8.97E+06,0,,0,0,,0,0
40,7,1,3,0,1.72E+08,0.2,0.5,0.4,0.00579028,0,0,1.04E+10,5.88E+09,5.10E+07,0,3.33E+09,0,6.81E+07,0,1.01E+08,0,9.84E+08,6,37599.2,15483.9,0,5,-1.76E+08,1.78E+06,,1.78E+10,1.84E+09,1.46E+06,0,7.99E+09,0,8.01E+09,1,0,4.01E+08,6.20E+08,1.72E+08,1.50E+07,1.83E+07,8.84E+06,2.83E+10,,0,0,0,0,0,0,0,0,0,0,9,609,5367,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,3.57E+06,0,767953,2.29E+06,0,2.25E+07,0,1.42E+07,0,0,3.65E+06,1.11E+07,1.79E+08,0,0,0,,3.74E+07,1.43E+07,1.51E+07,0,3.22E+07,6.54E+07,131494,8.85E+07,1.23E+06,2.42E+06,1.87E+07,0,1.36E+07,7.65E+06,0,3.71E+07,3.68E+06,0,,0,0,,0,0
62,10,1,3,0,1.47E+08,0.2,0.5,0.4,0.0010945,0,0,1.11E+10,6.13E+09,2.46E+07,0,3.48E+09,0,5.80E+07,0,9.14E+07,0,1.35E+09,6,60093.3,14359,0,2,1.33E+07,1.82E+06,,1.77E+10,1.70E+09,1.46E+06,0,7.99E+09,0,8.01E+09,1,0,4.01E+08,3.94E+08,1.47E+08,1.54E+07,2.45E+07,8.80E+06,2.88E+10,,0,0,0,0,0,0,0,0,0,0,4,404,6250,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,3.77E+06,0,640472,1.78E+06,0,2.24E+07,0,1.28E+07,0,0,2.26E+06,7.79E+06,1.94E+08,0,0,0,,2.68E+07,1.87E+07,1.33E+07,0,3.66E+07,3.46E+07,2.51E+07,6.95E+07,380159,2.09E+06,2.71E+07,0,1.03E+07,9.32E+06,5.02E+06,2.44E+07,8.70E+06,0,,0,0,,0,0
96,15,1,3,0,2.28E+08,0.2,0.5,0.4,0.00104618,0,0,9.84E+09,5.76E+09,3.86E+07,0,3.25E+09,0,6.49E+07,0,8.17E+07,0,6.47E+08,6,27207.8,8139.14,0,4,-1.15E+08,4.01E+06,,1.68E+10,1.92E+09,3.12E+06,0,7.99E+09,0,6.93E+09,2,0,3.47E+08,5.55E+08,2.28E+08,1.43E+07,2.07E+07,6.61E+06,2.67E+10,,0,0,0,0,0,0,0,0,0,1,0,1504,5372,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,7.98E+06,0,765159,2.04E+06,0,2.09E+07,0,1.15E+07,0,1.01E+06,6.80E-05,3.01E+07,1.54E+08,0,0,0,,3.92E+07,1.94E+07,2.85E+07,0,3.21E+07,1.88E+07,4.11E+07,4.63E+07,0,0,5.03E+06,0,3.61E+07,9.08E+06,3.01E+07,4.52E+07,806000,0,,0,0,,0,0
495,20,1,3,0,2.15E+08,0.2,0.5,0.4,0.00301333,0,0,1.04E+10,6.00E+09,2.63E+07,0,3.39E+09,0,6.34E+07,0,9.04E+07,0,7.82E+08,6,35578.9,7584.8,0,3,-1.10E+08,3.65E+06,,1.79E+10,1.88E+09,3.12E+06,0,7.99E+09,0,8.01E+09,2,0,4.01E+08,6.33E+08,2.15E+08,1.50E+07,2.88E+07,6.97E+06,2.82E+10,,0,0,0,0,0,0,0,0,0,3,1,755,5938,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,6.27E+06,0,787004,1.87E+06,0,2.25E+07,0,1.27E+07,0,2.24E+06,372056,1.52E+07,1.82E+08,0,0,1.14E-10,,2.85E+07,1.69E+07,2.30E+07,0,2.33E+07,5.79E+07,1.84E+07,4.69E+07,748861,2.01E+06,2.35E+07,0,3.22E+07,7.22E+06,3.09E+07,2.59E+07,7.95E+06,0,,0,0,,0,0
`,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,UC Active,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

